r, offset_x, offset_y, offset_z
0.01, 0.0118007, 0.0175738, 0.101385
0.01, 0.0318007, -0.0224262, 0.0813847
0.01, 0.0318007, -0.00242618, 0.0813847
0.01, 0.0318007, -0.00242618, 0.101385
0.01, 0.0318007, 0.0175738, 0.101385
0.01, 0.0518007, -0.0424262, 0.0813847
0.01, 0.0518007, -0.0224262, 0.0813847
0.01, 0.0518007, -0.0224262, 0.101385
0.01, 0.0518007, -0.00242618, 0.0813847
0.01, 0.0518007, -0.00242618, 0.101385
0.01, 0.0518007, 0.0175738, 0.101385
0.01, 0.0518007, 0.0375738, 0.101385
0.01, 0.0518007, 0.0575738, 0.101385
0.01, 0.0518007, 0.0775738, 0.101385
0.01, 0.0518007, 0.0975738, 0.101385
0.01, 0.0518007, 0.117574, 0.0813847
0.01, 0.0718007, -0.0424262, 0.0813847
0.01, 0.0718007, -0.0224262, 0.0813847
0.01, 0.0718007, -0.0224262, 0.101385
0.01, 0.0718007, -0.00242618, 0.0813847
0.01, 0.0718007, -0.00242618, 0.101385
0.01, 0.0718007, 0.0175738, 0.0813847
0.01, 0.0718007, 0.0175738, 0.101385
0.01, 0.0718007, 0.0375738, 0.101385
0.01, 0.0718007, 0.0575738, 0.101385
0.01, 0.0718007, 0.0775738, 0.101385
0.01, 0.0718007, 0.117574, 0.0813847
0.01, 0.0718007, 0.137574, 0.0613847
0.01, 0.0918007, -0.0224262, 0.0813847
0.01, 0.0918007, -0.00242618, 0.0813847
0.01, 0.0918007, -0.00242618, 0.101385
0.01, 0.0918007, 0.0175738, 0.0813847
0.01, 0.0918007, 0.0175738, 0.101385
0.01, 0.0918007, 0.0375738, 0.0813847
0.01, 0.0918007, 0.0375738, 0.101385
0.01, 0.0918007, 0.0575738, 0.0813847
0.01, 0.0918007, 0.0575738, 0.101385
0.01, 0.0918007, 0.0775738, 0.0813847
0.01, 0.0918007, 0.0975738, 0.0613847
0.01, 0.0918007, 0.0975738, 0.0813847
0.01, 0.0918007, 0.117574, 0.0613847
0.01, 0.111801, -0.00242618, 0.0813847
0.01, 0.111801, 0.0175738, 0.0813847
0.01, 0.111801, 0.0375738, 0.0613847
0.01, 0.111801, 0.0375738, 0.0813847
0.01, 0.111801, 0.0575738, 0.0613847
0.01, 0.111801, 0.0575738, 0.0813847
0.01, 0.111801, 0.0775738, 0.0613847
0.01, 0.111801, 0.0975738, 0.0613847
0.01, 0.131801, 0.0175738, 0.0613847
0.01, 0.131801, 0.0375738, 0.0613847
0.01, 0.131801, 0.0575738, 0.0613847
0.01, 0.0118007, -0.00242618, 0.0833847
0.01, 0.0118007, 0.0375738, 0.103385
0.01, 0.0318007, 0.0375738, 0.103385
0.01, 0.0318007, 0.0775738, 0.103385
0.01, 0.0718007, 0.0975738, 0.0833847
0.01, 0.111801, -0.00242618, 0.0633847
0.01, 0.111801, 0.0175738, 0.0633847
0.01, 0.131801, -0.00242618, 0.0633847
0.01, 0.0318007, 0.0575738, 0.105385
0.01, 0.0718007, 0.0375738, 0.0853847
0.01, 0.111801, 0.0975738, 0.0453847
0.01, 0.0318007, -0.0224262, 0.0673847
0.01, 0.0518007, -0.00242618, 0.0673847
0.01, 0.0518007, 0.0175738, 0.0873847
0.01, 0.0718007, 0.0575738, 0.0873847
0.01, 0.0718007, 0.117574, 0.0673847
0.01, 0.0918007, 0.0375738, 0.0673847
0.01, 0.0918007, 0.0575738, 0.0673847
0.01, 0.0918007, 0.117574, 0.0473847
0.01, 0.131801, 0.0575738, 0.0473847
0.01, 0.0318007, -0.0404262, 0.0813847
0.01, 0.0318007, -0.0204262, 0.101385
0.01, 0.111801, -0.0204262, 0.0813847
0.01, 0.0918007, 0.0795738, 0.0673847
0.01, 0.0918007, -0.0384262, 0.0813847
0.01, 0.0918007, 0.103574, 0.0473847
0.01, 0.0518007, 0.103574, 0.0893847
0.01, 0.0718007, 0.0835738, 0.0893847
0.01, 0.0918007, 0.0235738, 0.0693847
0.01, 0.111801, 0.0835738, 0.0493847
0.01, 0.111801, -0.0144262, 0.0693847
0.01, 0.0338007, 0.0975738, 0.101385
0.01, 0.0138007, 0.0575738, 0.105385
0.01, 0.0138007, -0.0164262, 0.0813847
0.01, 0.133801, 0.0435738, 0.0493847
0.01, 0.0938007, 0.00557382, 0.0693847
0.01, 0.0958007, -0.0184262, 0.0693847
0.01, 0.0158007, 0.00357382, 0.101385
0.01, 0.0558007, 0.125574, 0.0693847
0.01, 0.0378007, 0.0175738, 0.0893847
0.01, 0.0778007, 0.0215738, 0.0693847
0.01, 0.137801, 0.0215738, 0.0493847
0.01, 0.0578007, -0.0344262, 0.101385
0.01, 0.0598007, 0.139574, 0.0673847
0.01, 0.0198007, -0.0344262, 0.0693847
0.01, 0.0198007, 0.0255738, 0.109385
0.01, 0.0398007, -0.0144262, 0.0893847
0.01, 0.0398007, 0.00557382, 0.109385
