r, offset_x, offset_y, offset_z
0.015, 0.0348007, -0.0194262, 0.0843847
0.015, 0.0648007, -0.0194262, 0.0843847
0.015, 0.0648007, 0.0105738, 0.0843847
0.015, 0.0948007, -0.0194262, 0.0843847
0.015, 0.0948007, 0.0105738, 0.0843847
0.015, 0.0948007, 0.0405738, 0.0843847
0.015, 0.0948007, 0.0705738, 0.0843847
0.015, 0.124801, 0.0705738, 0.0543847
0.014, 0.0318007, 0.00557382, 0.105385
0.014, 0.0318007, 0.0335738, 0.105385
0.014, 0.0598007, 0.00557382, 0.105385
0.014, 0.0598007, 0.0335738, 0.105385
0.014, 0.0598007, 0.0615738, 0.105385
0.014, 0.0878007, 0.0335738, 0.105385
0.014, 0.0878007, 0.0895738, 0.0773847
0.014, 0.115801, 0.00557382, 0.0773847
0.014, 0.115801, 0.0335738, 0.0773847
0.014, 0.115801, 0.0615738, 0.0773847
0.013, 0.0548007, 0.104574, 0.0963847
0.013, 0.0808007, 0.000573824, 0.0963847
0.013, 0.0808007, 0.0525738, 0.0963847
0.013, 0.0808007, 0.0785738, 0.0963847
0.013, 0.106801, 0.0265738, 0.0963847
0.013, 0.106801, 0.0785738, 0.0703847
0.012, 0.0258007, 0.0675738, 0.111385
0.012, 0.0498007, -0.00442618, 0.0873847
0.012, 0.0738007, 0.0195738, 0.111385
0.012, 0.121801, 0.0195738, 0.0633847
0.011, 0.0668007, -0.0314262, 0.100385
0.011, 0.0668007, 0.122574, 0.0783847
